0,0,Round 1,Round 1,0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,PHO,Deandre Ayton\aytonde01,University of Arizona,1,56,1732,918,587,107,0.588,0,0.757,30.9,16.4,10.5,1.9,4.8,0.134,0.7,1.2
2,SAC,Marvin Bagley\baglema01,Duke University,1,46,1147,643,331,46,0.513,0.267,0.696,24.9,14,7.2,1,2.7,0.112,-1.4,0.2
3,ATL,Luka Doncic\doncilu01,0,1,56,1805,1168,405,317,0.432,0.353,0.726,32.2,20.9,7.2,5.7,4.3,0.115,3.8,2.6
4,MEM,Jaren Jackson\jacksja02,Michigan State University,1,58,1515,798,272,64,0.506,0.359,0.766,26.1,13.8,4.7,1.1,3.5,0.111,0.3,0.9
5,DAL,Trae Young\youngtr01,University of Oklahoma,1,61,1854,1069,199,468,0.41,0.329,0.809,30.4,17.5,3.3,7.7,1.2,0.032,-2.8,-0.4
6,ORL,Mohamed Bamba\bambamo01,University of Texas at Austin,1,47,766,292,233,39,0.481,0.3,0.587,16.3,6.2,5,0.8,1.7,0.103,-0.1,0.4
7,CHI,Wendell Carter\cartewe01,Duke University,1,44,1110,455,307,78,0.485,0.188,0.795,25.2,10.3,7,1.8,1.9,0.084,-0.2,0.5
8,CLE,Collin Sexton\sextoco01,University of Alabama,1,61,1860,912,188,175,0.405,0.394,0.85,30.5,15,3.1,2.9,-1.5,-0.04,-6.3,-2
9,NYK,Kevin Knox\knoxke01,University of Kentucky,1,53,1508,672,234,51,0.366,0.337,0.728,28.5,12.7,4.4,1,-1.1,-0.035,-6.2,-1.6
10,PHI,Mikal Bridges\bridgmi01,Villanova University,1,62,1735,500,190,121,0.428,0.346,0.779,28,8.1,3.1,2,2.1,0.057,0,0.9
11,CHO,Shai Gilgeous-Alexander\gilgesh01,University of Kentucky,1,62,1586,603,166,186,0.455,0.309,0.807,25.6,9.7,2.7,3,1.4,0.043,-1.4,0.2
12,LAC,Miles Bridges\bridgmi02,Michigan State University,1,58,1109,382,206,54,0.447,0.31,0.742,19.1,6.6,3.6,0.9,1.5,0.066,-1.8,0.1
13,LAC,Jerome Robinson\robinje01,Boston College,1,24,223,78,27,8,0.38,0.341,0.667,9.3,3.3,1.1,0.3,0.1,0.021,-4.6,-0.1
14,DEN,Michael Porter\portemi01,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,WAS,Troy Brown\browntr01,University of Oregon,1,30,212,70,39,29,0.394,0.25,0.667,7.1,2.3,1.3,1,0.2,0.036,-5.1,-0.2
16,PHO,Zhaire Smith\smithzh01,Texas Tech University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MIL,Donte DiVincenzo\divindo01,Villanova University,1,23,358,110,56,27,0.393,0.246,0.818,15.6,4.8,2.4,1.2,0.5,0.062,-1.9,0
18,SAS,Lonnie Walker\walkelo01,University of Miami,1,6,57,14,10,2,0.19,0.333,1,9.5,2.3,1.7,0.3,-0.2,-0.169,-11.7,-0.1
19,ATL,Kevin Huerter\huertke01,University of Maryland,1,55,1496,507,177,153,0.421,0.389,0.745,27.2,9.2,3.2,2.8,1,0.031,-2.1,0
20,MIN,Josh Okogie\okogijo01,Georgia Institute of Technology,1,52,1173,394,156,59,0.37,0.265,0.741,22.6,7.6,3,1.1,0.5,0.019,-2.7,-0.2
21,UTA,Grayson Allen\allengr01,Duke University,1,28,276,114,11,17,0.312,0.275,0.75,9.9,4.1,0.4,0.6,-0.2,-0.028,-7.9,-0.4
22,CHI,Chandler Hutchison\hutchch01,Boise State University,1,44,895,229,185,34,0.459,0.28,0.605,20.3,5.2,4.2,0.8,0.6,0.033,-4.1,-0.5
