elo1,elo2
1385.204,1487.039
1483.233,1665.557
1422.82,1573.513
1485.806,1462.502
1579.121,1491.38
1408.082,1420.16
1571.837,1543.108
1501.07,1376.895
1454.541,1472.748
1486.703,1483.734
1516.285,1435.862
1489.929,1550.894
1469.366,1567.37
1550.07,1676.663
1592.275,1544.396
1414.802,1478.226
1495.817,1510.094
1455.863,1459.567
1452.49,1431.997
1397.713,1416.381
1430.529,1500.802
1580.187,1570.549
1581.531,1460.636
1538.951,1469.634
1424.832,1478.794
1687.782,1577.169
1367.871,1669.996
1527.314,1495.292
1506.16,1704.908
1516.712,1569.985
1445.079,1562.695
1514.422,1381.675
1678.066,1520.855
1469.308,1432.419
1603.403,1447.949
1566.687,1359.801
1485.057,1592.376
1415.179,1505.894
1445.89,1439.112
1449.792,1547.333
1560.042,1416.909
1476.317,1397.466
1497.888,1495.337
1439.185,1469.727
1428.93,1571.512
1584.392,1481.869
1415.276,1502.305
1405.439,1515.255
1616.281,1514.49
1461.151,1435.823
1578.843,1612.167
1378.446,1529.374
1713.181,1375.502
1355.534,1391.699
1465.904,1570.953
1520.594,1684.43
1494.86,1524.826
1500.22,1497.385
1644.374,1418.481
1422.721,1475.09
1373.063,1463.785
1594.729,1330.271
1539.473,1468.399
1416.963,1366.711
1445.127,1630.551
1476.473,1591.503
1541.109,1715.62
1474.758,1444.222
1581.962,1560.65
1421.884,1596.282
1469.11,1458.122
1490.738,1480.412
1409.398,1483.26
1538.148,1696.578
1553.855,1601.846
1346.11,1472.575
1489.54,1653.457
1560.044,1408.271
1432.455,1557.731
1351.219,1517.193
1560.15,1550.576
1323.153,1435.72
1604.465,1450.141
1514.121,1603.103
1486.147,1579.104
1506.54,1568.489
1395.943,1716.619
1518.107,1531.622
1673.053,1581.467
1435.788,1399.826
1359.391,1568.458
1496.715,1573.48
1582.221,1456.734
1577.189,1464.61
1369.857,1302.139
1540.035,1491.444
1498.556,1408.719
1459.295,1469.944
1452.868,1344.764
1499.203,1455.188
1690.408,1471.531
1470.69,1386.839
1564.112,1593.272
1452.8,1475.785
1599.244,1588.93
1460.094,1384.757
1476.439,1562.584
1445.682,1583.084
1285.156,1468.894
1447.181,1450.858
1550.527,1593.72
1657.374,1599.505
1537.922,1629.358
1464.871,1503.8
1450.591,1571.465
1577.091,1446.454
1370.856,1441.879
1355.754,1620.331
1528.027,1411.075
1567.844,1427.216
1464.766,1470.823
1679.787,1697.067
1310.328,1463.819
1545.136,1501.101
1572.782,1473.995
1443.723,1483.631
1432.842,1451.58
1428.689,1484.008
1455.464,1590.406
1468.821,1357.27
1590.091,1499.023
1414.164,1491.907
1385.678,1488.884
1433.455,1594.748
1442.483,1676.065
1572.532,1305.326
1533.171,1535.829
1700.789,1547.753
1498.665,1496.619
1580.896,1554.33
1485.388,1536.148
1461.809,1608.352
1557.543,1459.136
1601.328,1614.052
1340.703,1470.59
1397.003,1422.4
1419.85,1714.778
1562.705,1412.754
1487.786,1299.424
1436.875,1442.106
1509.069,1431.818
1572.521,1578.434
1533.765,1462.023
1681.674,1511.457
1448.121,1419.339
1500.724,1492.766
1529.701,1574.98
1616.504,1727.462
1400.063,1332.001
1584.276,1400.479
1556.504,1407.166
1554.136,1455.552
1486.977,1496.195
1291.014,1631.104
1479.292,1461.842
1594.451,1453.657
1540.235,1638.994
1520.812,1417.14
1608.828,1607.692
1319.556,1519.13
1407.211,1473.989
1440.416,1448.312
1638.364,1532.713
1404.651,1561.377
1388.699,1556.788
1655.418,1430.957
1596.056,1462.809
1436.946,1570.401
1688.548,1547.894
1283.755,1530.742
1504.187,1412.509
1509.184,1474.36
1567.729,1572.961
1432.435,1274.42
1485.903,1612.975
1541.952,1631.528
1584.992,1464.035
1422.275,1531.083
1664.101,1372.759
1540.076,1423.126
1452.461,1377.757
1579.076,1363.953
1694.49,1456.293
1493.57,1474.733
1543.312,1386.952
1508.441,1558.102
1589.804,1599.546
1498.549,1624.074
1437.895,1449.481
1395.991,1549.412
1353.225,1590.124
1375.474,1509.551
1362.415,1454.808
1413.79,1474.804
1486.577,1640.869
1467.803,1550.567
1579.966,1564.466
1268.96,1458.752
1554.79,1448.339
1609.014,1702.445
1338.422,1370.073
1604.926,1475.148
1373.678,1309.343
1514.952,1456.946
1434.697,1551.116
1624.24,1568.432
1571.725,1460.8
1543.222,1434.309
1430.43,1349.8
1593.317,1520.151
1687.254,1454.285
1418.369,1467.423
1624.205,1565.11
1666.645,1602.472
1457.916,1423.201
1465.161,1546.464
1470.732,1460.77
1428.338,1516.573
1471.194,1546.315
1536.751,1380.659
1452.529,1427.176
1535.825,1523.143
1505.008,1364.838
1500.393,1433.619
1554.51,1550.319
1661.735,1579.149
1532.664,1609.009
1544.372,1575.964
1483.261,1483.06
1490.452,1480.308
1495.593,1481.612
1526.242,1606.098
1449.318,1434.349
1453.705,1676.937
1445.69,1502.916
1638.757,1571.82
1521.173,1448.241
1457.493,1578.588
1557.603,1422.211
1449.279,1514.238
1388.234,1431.839
1501.365,1563.946
1469.602,1525.234
1518.049,1428.142
1444.18,1684.356
1478.154,1438.578
1573.648,1488.744
1558.692,1650.461
1474.246,1418.954
1477.577,1409.421
1459.156,1508.7
1462.059,1401.119
1560.116,1525.226
1510.027,1510.213
1587.158,1446.286
1607.939,1438.291
1402.265,1620.94
1532.92,1569.666
1461.672,1594.83
1490.936,1474.6
1388.877,1587.454
1438.613,1427.788
1424.528,1676.821
1539.532,1434.936
1425.29,1498.121
1666.864,1471.591
1435.39,1455.304
1474.938,1492.204
1515.676,1486.28
1533.96,1532.332
1471.284,1513.545
1516.361,1514.217
1605.912,1395.183
1370.418,1450.83
1690.345,1559.142
1528.228,1419.411
1548.636,1459.167
1451.99,1678.572
1425.832,1438.757
1407.234,1552.075
1543.445,1411.004
1584.447,1479.878
1605.672,1522.078
1459.883,1450.78
1480.249,1543.852
1496.932,1389.321
1577.373,1499.399
1615.239,1403.787
1487.896,1384.34
1456.049,1560.585
1441.734,1484.168
1569.988,1508.404
1385.856,1596.632
1498.4,1672.114
1688.829,1431.986
1567.165,1499.332
1426.495,1389.262
1531.246,1467.693
1466.156,1500.583
1446.023,1459.746
1546.084,1393.624
1539.707,1463.907
1526.031,1591.873
1634.991,1370.166
1486.519,1550.741
1371.654,1463.997
1422.256,1520.414
1612.323,1626.748
1392.278,1565.926
1552.727,1422.133
1459.232,1458.175
1674.791,1535.522
1494.325,1583.915
1536.914,1620.126
1553.336,1632.925
1609.359,1643.233
1386.371,1437.16
1497.779,1433.117
1492.689,1474.577
1361.924,1510.925
1577.389,1541.789
1629.712,1492.161
1374.289,1413.38
1561.48,1468.609
1484.289,1341.326
1400.881,1500.346
1463.098,1631.672
1568.159,1509.335
1452.29,1620.919
1524.09,1577.8
1464.355,1366.753
1502.912,1467.798
1568.905,1332.012
1588.881,1416.357
1597.966,1484.87
1625.654,1411.521
1521.212,1635.744
1420.916,1348.759
1493.603,1412.011
1560.607,1486.13
